Date,INDOCO.NS.Open,INDOCO.NS.High,INDOCO.NS.Low,INDOCO.NS.Close,INDOCO.NS.Volume
14-01-2022,430.75,442.7999878,428.1499939,439.1499939,97640
17-01-2022,439.7000122,443.7999878,430.25,437.9500122,87170
18-01-2022,439.9500122,441.8500061,427.6499939,429.0499878,55018
19-01-2022,429.9500122,433.3999939,424,428.9500122,57455
20-01-2022,428.5499878,431.1000061,421.1000061,422.6499939,48611
21-01-2022,420,426.1499939,413.7999878,416.7000122,58642
24-01-2022,413,415,394.1499939,400.2000122,79068
25-01-2022,394.2000122,410.5,394.1499939,400.2999878,42883
27-01-2022,399,406.5,393.25,395.4500122,42893
28-01-2022,397.4500122,406.7999878,397.4500122,404.0499878,148389
31-01-2022,415,417.4500122,380,385.3500061,219095
01-02-2022,397.9500122,429,393.3999939,401.8999939,1459691
02-02-2022,401.8999939,405,394.0499878,397.7000122,142646
03-02-2022,401.8999939,406,390.8500061,391.7999878,128117
04-02-2022,393.6000061,394.8500061,382.5,384.5499878,191361
07-02-2022,381,386.5,376.7999878,377.75,118200
08-02-2022,377,381.75,365,367.7999878,155538
09-02-2022,369.7000122,375.4500122,367.3500061,368.8999939,99774
10-02-2022,378.3999939,379.8500061,371.3999939,377.7000122,102957
11-02-2022,372,377.9500122,366.25,367.6000061,115907
14-02-2022,359.6000061,365.4500122,355.2999878,362.5499878,96900
15-02-2022,364.3500061,366.3500061,344.0499878,346.2000122,393009
16-02-2022,350,379.8999939,348.8500061,374.7000122,684074
17-02-2022,375,384.4500122,370.4500122,382.2000122,301681
18-02-2022,379,382.2000122,375.1499939,381.1000061,72947
21-02-2022,375.1499939,383.2999878,371.5,379.6499939,111061
22-02-2022,370,384.9500122,369.4500122,382.3500061,137144
23-02-2022,383,392.6000061,383,389.3999939,100761
24-02-2022,380.0499878,390.6499939,376,379.7999878,189857
25-02-2022,387,400,383.4500122,389.8999939,105315
28-02-2022,388.3999939,393.7999878,378.2999878,392.2000122,32257
02-03-2022,388.1000061,394.7000122,383.5499878,389.0499878,83531
03-03-2022,389.5,394,376.9500122,379.9500122,48066
04-03-2022,376.5,381.6499939,356.6000061,361.2999878,136411
07-03-2022,354,369,350.1499939,362.6499939,73131
08-03-2022,364.5,371.75,356.2000122,361.25,58881
09-03-2022,363.1000061,370.5,359.6000061,363.2000122,100176
10-03-2022,377.7000122,377.7000122,365.0499878,371.5,71520
11-03-2022,371.5,379.6000061,367.7000122,375.75,70403
14-03-2022,375.75,388.8500061,372.5,382.2999878,65729
15-03-2022,382.2999878,383.9500122,372,374.8999939,52763
16-03-2022,382,387,379.8500061,385.4500122,70175
17-03-2022,390,395.7000122,386.1499939,391.3500061,81402
21-03-2022,386.1499939,414.3999939,386.1499939,409.7999878,217526
22-03-2022,418,426.2000122,397.1000061,401.7999878,305496
23-03-2022,403.8500061,408.5499878,390.2000122,393.1000061,88035
24-03-2022,395.1000061,407,390,392.8999939,53065
25-03-2022,394.8999939,397.8999939,386,389.2000122,49071
28-03-2022,384.2000122,389.0499878,366.6000061,372.75,128643
29-03-2022,375,376.2999878,363,365.7999878,122571
30-03-2022,373.8999939,384.3999939,372,380.4500122,86119
31-03-2022,386.3500061,386.3500061,374.1000061,377.0499878,76013
01-04-2022,377.0499878,391.2000122,377.0499878,384.5499878,37624
04-04-2022,385.5499878,391.6000061,377,384.7999878,121119
05-04-2022,386.7000122,391.5,380.2999878,388.2999878,100222
06-04-2022,386,393.8999939,382.6000061,390.1000061,67116
07-04-2022,390.5,400.75,388,392.1000061,67321
08-04-2022,394.1000061,403,390.6499939,398.1000061,104146
11-04-2022,400.6000061,405,395,396.4500122,70849
12-04-2022,398.5,402.1000061,390.4500122,396.8500061,55283
13-04-2022,396.8500061,403.6000061,385,387.2999878,92028
